CLAVE EMISORA,A_YAHOO
AC,AC.MX
ACCELSA,ACCELSAB.MX
ACTINVR,ACTINVRB.MX
AEROMEX,AEROMEX.MX
AGRIEXP,
AGUA,AGUA.MX
AHMSA,AHMSA.MX
ALFA,ALFAA.MX
ALPEK,ALPEKA.MX
ALSEA,ALSEA.MX
AMX,AMXA.MX
ARA,ARA.MX
ARISTOS,
ASUR,ASURB.MX
AUTLAN,AUTLANB.MX
AXTEL,AXTELCPO.MX
AZTECA,AZTECACPO.MX
BACHOCO,BACHOCOB.MX
BAFAR,BAFARB.MX
BBAJIO,BBAJIOO.MX
BEVIDES,BEVIDESB.MX
BIMBO,BIMBOA.MX
BOLSA,BOLSAA.MX
BSMX,BSMXB.MX
CABLE,CABLECPO.MX
CADU,CADUA.MX
CEMEX,CEMEXCPO.MX
CERAMIC,CERAMICB.MX
CHDRAUI,CHDRAUIB.MX
CIDMEGA,CIDMEGA.MX
CIE,CIEB.MX
CMOCTEZ,CMOCTEZ.MX
CMR,CMRB.MX
COLLADO,COLLADO.MX
CONVER,CONVERA.MX
CREAL,CREAL.MX
CUERVO,CUERVO.MX
CULTIBA,CULTIBAB.MX
CYDSASA,CYDSASAA.MX
DINE,DINEA.MX
EDOARDO,
ELEKTRA,ELEKTRA.MX
ELEMENT,ELEMENT.MX
FEMSA,FEMSAUBD.MX
FINAMEX,FINAMEXO.MX
FINDEP,FINDEP.MX
FRAGUA,FRAGUAB.MX
GAP,GAPB.MX
GBM,GBMO.MX
GCARSO,GCARSOA1.MX
GCC,GCC.MX
GENSEG,GENSEG.MX
GENTERA,GENTERA.MX
GEO,GEOB.MX
GFAMSA,GFAMSAA.MX
GFINBUR,GFINBURO.MX
GFMULTI,
GFNORTE,GFNORTEO.MX
GICSA,GICSAB.MX
GIGANTE,GIGANTE.MX
GISSA,GISSAA.MX
GMD,GMD.MX
GMEXICO,GMEXICOB.MX
GMXT,GMXT.MX
GNP,GNP.MX
GOMO,GOMO.MX
GPH,GPH1.MX
GPROFUT,GPROFUT.MX
GRUMA,GRUMAB.MX
GSANBOR,GSANBORB-1.MX
HCITY,HCITY.MX
HERDEZ,HERDEZ.MX
HILASAL,HILASALA.MX
HOMEX,HOMEX.MX
HOTEL,HOTEL.MX
IASASA,IASASA.MX
ICA,ICA.MX
ICH,ICHB.MX
IDEAL,IDEALB-1.MX
IENOVA,IENOVA.MX
INGEAL,
INVEX,INVEXA.MX
JAVER,JAVER.MX
KIMBER,KIMBERA.MX
KOF,KOFL.MX
KUO,KUOA.MX
LAB,LABB.MX
LACOMER,LACOMERUBC.MX
LALA,LALAB.MX
LAMOSA,LAMOSA.MX
LASEG,LASEG.MX
LIVEPOL,LIVEPOLC-1.MX
MAXCOM,MAXCOMA.MX
MEDICA,MEDICAB.MX
MEGA,MEGACPO.MX
MEXCHEM,MEXCHEM.MX
MFRISCO,MFRISCOA-1.MX
MINSA,MINSAB.MX
MONEX,MONEXB.MX
NEMAK,NEMAKA.MX
OHLMEX,OHLMEX.MX
OMA,OMAB.MX
PAPPEL,PAPPEL.MX
PASA,PASAB.MX
PE&OLES,PE&OLES.MX
PINFRA,PINFRA.MX
PLANI,PLANI.MX
PMCPAC,PMCPACA.MX
POCHTEC,POCHTECB.MX
POSADAS,POSADASA.MX
PROCORP,PROCORPA.MX
PV,PV.MX
Q,Q.MX
QBINDUS,
QUMMA,QUMMAB.MX
R,RA.MX
RASSINI,RASSINIA.MX
RCENTRO,RCENTROA.MX
RLH,RLHA.MX
SARE,SAREB.MX
SAVIA,
SIMEC,SIMECB.MX
SITES,SITESB-1.MX
SORIANA,SORIANAB.MX
SPORT,
TEAK,TEAKCPO.MX
TEKCHEM,
TLEVISA,TLEVISACPO.MX
TMM,TMMA.MX
TRAXION,TRAXIONA.MX
UNIFIN,UNIFINA.MX
URBI,URBI.MX
VALUEGF,VALUEGFO.MX
VASCONI,VASCONI.MX
VESTA,VESTA.MX
VINTE,VINTE.MX
VISTA,VISTAA.MX
VITRO,VITROA.MX
VOLAR,VOLARA.MX
WALMEX,WALMEX.MX
